ts,y_true,y_pred,pi_lo,pi_hi
2025-08-24 04:45:00+00:00,90.0,89.06892394660441,62.39958658801952,126.77287865880393
2025-08-24 05:00:00+00:00,84.9,83.6049620822814,56.935624723696506,121.30891679448092
2025-08-24 05:15:00+00:00,84.9,83.43327357688257,56.76393621829767,121.13722828908209
2025-08-24 05:30:00+00:00,84.9,83.37695553205515,56.70761817347025,121.08091024425468
2025-08-24 05:45:00+00:00,84.9,83.10199494198022,56.432657583395326,120.80594965417976
2025-08-24 06:00:00+00:00,48.37,71.57886550354273,44.90952814495783,109.28282021574225
2025-08-24 06:15:00+00:00,48.37,71.31130847960995,44.64197112102505,109.01526319180948
2025-08-24 06:30:00+00:00,48.37,71.25795268556733,44.588615326982435,108.96190739776685
2025-08-24 06:45:00+00:00,48.37,70.95087492340379,44.28153756481889,108.6548296356033
2025-08-24 07:00:00+00:00,2.64,5.693030728373289,-20.97630663021161,43.39698544057281
2025-08-24 07:15:00+00:00,2.64,5.565263040069914,-21.104074318514982,43.26921775226944
2025-08-24 07:30:00+00:00,2.64,5.245727384767315,-21.423609973817584,42.94968209696684
2025-08-24 07:45:00+00:00,2.64,5.764062321213976,-20.90527503737092,43.4680170334135
2025-08-24 08:00:00+00:00,-0.01,-0.527702807106956,-27.197040165691853,37.17625190509257
2025-08-24 08:15:00+00:00,-0.01,-0.3027189825385082,-26.972056341123405,37.40123572966102
2025-08-24 08:30:00+00:00,-0.01,0.007142636255467242,-26.66219472232943,37.71109734845499
2025-08-24 08:45:00+00:00,-0.01,-0.11132539897661348,-26.78066275756151,37.592629313222915
2025-08-24 09:00:00+00:00,-0.07,-2.1370671244060935,-28.80640448299099,35.56688758779343
2025-08-24 09:15:00+00:00,-0.07,-1.6652141543974581,-28.334551512982355,36.038740557802065
2025-08-24 09:30:00+00:00,-0.07,-1.6652141543974581,-28.334551512982355,36.038740557802065
2025-08-24 09:45:00+00:00,-0.07,-1.65184399790417,-28.321181356489067,36.05211071429535
2025-08-24 10:00:00+00:00,-1.98,-2.5905397118514086,-29.259877070436307,35.11341500034812
2025-08-24 10:15:00+00:00,-1.98,-2.836020640042449,-29.505357998627346,34.86793407215708
2025-08-24 10:30:00+00:00,-1.98,-3.079081731161551,-29.74841908974645,34.624872981037974
2025-08-24 10:45:00+00:00,-1.98,-3.055881138161844,-29.72521849674674,34.64807357403768
2025-08-24 11:00:00+00:00,-7.45,-6.2419981297487315,-32.91133548833363,31.461956582450796
2025-08-24 11:15:00+00:00,-7.45,-6.206408638918464,-32.87574599750336,31.49754607328106
